user_level,learning_goal,topic_code,subtopic_code,topic_level,quiz_type,quiz_score,avg_last_3_scores,previous_fails_same_topic,subtopic_order,preferred_topic_match,completed_interactive,needs_reinforcement
intermediate,debt_management,savings,how_to_save,beginner,subtopic_quiz,72.3,76.2,0,3,1,1,0
intermediate,financial_planning,budgeting,topic_final,beginner,topic_final_quiz,95.0,77.2,0,5,1,1,0
intermediate,debt_management,investments,risk_and_return,advanced,subtopic_quiz,58.1,66.0,0,2,1,0,1
intermediate,other,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,100,96.6,0,1,1,1,0
basic,other,budgeting,topic_final,beginner,topic_final_quiz,58.1,54.8,0,5,0,1,1
basic,other,budgeting,topic_final,beginner,topic_final_quiz,74.9,65.1,0,5,0,1,0
intermediate,increase_income,investments,simple_instruments,advanced,subtopic_quiz,78.3,71.0,0,4,1,1,0
beginner,debt_management,savings,emergency_fund,beginner,subtopic_quiz,81.0,79.1,0,2,0,1,0
beginner,increase_income,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,50.1,44.8,3,1,0,1,1
intermediate,start_investing,budgeting,topic_final,beginner,topic_final_quiz,41.9,31.9,1,5,1,1,1
intermediate,other,investments,what_are_investments,advanced,subtopic_quiz,78.5,99.5,0,1,0,0,0
beginner,financial_planning,savings,why_save,beginner,subtopic_quiz,68.7,58.6,0,1,1,1,0
beginner,debt_management,budgeting,income_expenses,beginner,subtopic_quiz,82.3,72.0,0,1,0,1,0
beginner,general_improvement,financial_planning,progress_control,intermediate,subtopic_quiz,47.7,57.2,2,5,1,0,1
intermediate,debt_management,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,84.2,91.6,0,2,0,1,0
basic,saving_money,savings,topic_final,beginner,topic_final_quiz,48.2,37.9,3,5,1,1,1
basic,financial_planning,financial_planning,topic_final,intermediate,topic_final_quiz,42.3,44.8,0,5,1,0,1
advanced,debt_management,investments,risk_and_return,advanced,subtopic_quiz,81.4,70.9,2,2,1,1,1
basic,control_spending,investments,what_are_investments,advanced,subtopic_quiz,53.2,56.2,0,1,0,0,1
intermediate,debt_management,budgeting,expense_accounting,beginner,subtopic_quiz,86.6,87.7,0,3,1,1,0
basic,start_investing,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,66.2,76.0,0,1,0,1,0
intermediate,control_spending,investments,beginner_mistakes,advanced,subtopic_quiz,52.6,68.0,3,5,0,1,1
beginner,understand_banking,savings,interest_on_savings,beginner,subtopic_quiz,59.8,41.1,0,4,0,1,1
basic,debt_management,credit_and_debt,choose_credit,intermediate,subtopic_quiz,81.4,83.4,0,5,1,1,0
advanced,general_improvement,budgeting,expense_accounting,beginner,subtopic_quiz,74.2,84.5,0,3,1,1,0
basic,understand_banking,credit_and_debt,topic_final,intermediate,topic_final_quiz,70.2,62.2,0,5,1,1,1
intermediate,increase_income,financial_planning,spending_priorities,intermediate,subtopic_quiz,69.1,56.3,0,3,1,1,1
basic,control_spending,financial_planning,savings_plan,intermediate,subtopic_quiz,57.5,46.7,1,4,1,1,1
beginner,increase_income,credit_and_debt,choose_credit,intermediate,subtopic_quiz,50.4,37.1,3,5,0,0,1
advanced,general_improvement,savings,topic_final,beginner,topic_final_quiz,68.1,79.9,0,5,1,1,0
basic,increase_income,budgeting,topic_final,beginner,topic_final_quiz,62.7,71.2,2,5,0,1,1
beginner,increase_income,savings,why_save,beginner,subtopic_quiz,57.5,51.0,1,1,0,1,1
advanced,financial_planning,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,100,94.2,0,4,1,0,0
intermediate,understand_banking,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,86.7,87.0,0,4,1,1,0
basic,financial_planning,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,81.0,85.0,0,1,0,0,0
intermediate,other,financial_planning,financial_goals,intermediate,subtopic_quiz,66.5,63.8,0,1,0,0,0
beginner,increase_income,financial_planning,financial_goals,intermediate,subtopic_quiz,59.1,60.4,1,1,1,0,1
advanced,other,financial_planning,spending_priorities,intermediate,subtopic_quiz,86.5,84.2,0,3,0,1,0
intermediate,saving_money,financial_planning,topic_final,intermediate,topic_final_quiz,57.7,68.6,2,5,0,1,1
beginner,general_improvement,savings,emergency_fund,beginner,subtopic_quiz,52.1,65.3,1,2,0,0,1
basic,understand_banking,budgeting,expense_accounting,beginner,subtopic_quiz,61.7,69.7,0,3,0,0,1
beginner,saving_money,savings,how_to_save,beginner,subtopic_quiz,65.7,70.1,0,3,1,1,0
beginner,financial_planning,savings,saving_mistakes,beginner,subtopic_quiz,40.7,64.5,0,5,1,1,1
intermediate,start_investing,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,62.6,60.5,1,2,0,1,1
intermediate,control_spending,investments,diversification,advanced,subtopic_quiz,73.5,77.5,0,3,0,1,0
beginner,other,credit_and_debt,topic_final,intermediate,topic_final_quiz,64.3,64.8,0,5,0,1,1
beginner,saving_money,budgeting,income_expenses,beginner,subtopic_quiz,46.6,49.1,0,1,0,1,1
intermediate,increase_income,credit_and_debt,choose_credit,intermediate,subtopic_quiz,88.2,81.5,0,5,1,1,0
beginner,financial_planning,investments,diversification,advanced,subtopic_quiz,42.1,55.6,1,3,1,0,1
intermediate,other,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,83.9,90.2,0,2,0,1,0
beginner,debt_management,investments,beginner_mistakes,advanced,subtopic_quiz,37.9,42.0,1,5,0,0,1
intermediate,understand_banking,savings,topic_final,beginner,topic_final_quiz,62.8,38.8,2,5,0,1,1
basic,saving_money,investments,topic_final,advanced,topic_final_quiz,41.2,35.6,0,5,0,1,1
intermediate,saving_money,financial_planning,progress_control,intermediate,subtopic_quiz,88.5,100,0,5,0,1,0
beginner,control_spending,credit_and_debt,credit_load,intermediate,subtopic_quiz,31.0,28.3,0,4,1,1,1
beginner,financial_planning,credit_and_debt,choose_credit,intermediate,subtopic_quiz,48.7,39.4,0,5,0,0,1
beginner,increase_income,investments,beginner_mistakes,advanced,subtopic_quiz,46.0,48.0,2,5,1,0,1
beginner,debt_management,investments,beginner_mistakes,advanced,subtopic_quiz,74.9,73.8,1,5,0,1,0
advanced,saving_money,credit_and_debt,interest_rate,intermediate,subtopic_quiz,95.9,87.3,0,2,0,1,0
basic,financial_planning,budgeting,expense_accounting,beginner,subtopic_quiz,75.2,52.0,1,3,1,0,1
basic,increase_income,budgeting,budget_analysis,beginner,subtopic_quiz,77.9,67.9,0,5,0,1,0
beginner,debt_management,investments,beginner_mistakes,advanced,subtopic_quiz,30.2,22.9,1,5,0,1,1
beginner,financial_planning,investments,topic_final,advanced,topic_final_quiz,63.3,79.0,0,5,0,0,1
intermediate,debt_management,budgeting,budget_analysis,beginner,subtopic_quiz,99.4,94.3,0,5,0,0,0
beginner,control_spending,financial_planning,progress_control,intermediate,subtopic_quiz,54.2,35.5,2,5,1,1,1
beginner,understand_banking,budgeting,expense_accounting,beginner,subtopic_quiz,57.3,53.1,0,3,1,1,1
beginner,start_investing,budgeting,budget_analysis,beginner,subtopic_quiz,50.1,54.5,0,5,0,0,1
intermediate,other,investments,beginner_mistakes,advanced,subtopic_quiz,80.6,88.5,1,5,0,1,0
beginner,control_spending,financial_planning,topic_final,intermediate,topic_final_quiz,48.2,43.6,0,5,0,0,1
intermediate,understand_banking,savings,saving_mistakes,beginner,subtopic_quiz,100,100,0,5,0,1,0
beginner,increase_income,credit_and_debt,credit_load,intermediate,subtopic_quiz,48.5,68.2,0,4,0,1,1
beginner,increase_income,savings,why_save,beginner,subtopic_quiz,36.7,43.0,2,1,0,1,1
basic,debt_management,savings,emergency_fund,beginner,subtopic_quiz,45.5,50.6,3,2,0,0,1
intermediate,increase_income,investments,topic_final,advanced,topic_final_quiz,60.0,75.2,0,5,1,0,1
advanced,control_spending,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,87.3,69.3,1,4,1,1,0
beginner,saving_money,credit_and_debt,topic_final,intermediate,topic_final_quiz,36.9,23.8,0,5,1,1,1
basic,understand_banking,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,87.0,75.4,0,4,1,0,0
intermediate,general_improvement,investments,diversification,advanced,subtopic_quiz,75.6,72.6,0,3,0,1,0
basic,debt_management,investments,what_are_investments,advanced,subtopic_quiz,51.0,38.7,1,1,0,0,1
intermediate,control_spending,credit_and_debt,topic_final,intermediate,topic_final_quiz,58.2,58.5,0,5,0,1,1
advanced,other,savings,topic_final,beginner,topic_final_quiz,100,99.6,1,5,0,1,0
advanced,other,budgeting,topic_final,beginner,topic_final_quiz,60.4,61.6,0,5,0,1,1
intermediate,financial_planning,credit_and_debt,interest_rate,intermediate,subtopic_quiz,75.1,69.2,0,2,0,1,0
beginner,understand_banking,investments,diversification,advanced,subtopic_quiz,34.1,39.4,0,3,0,0,1
beginner,debt_management,savings,how_to_save,beginner,subtopic_quiz,58.7,73.0,0,3,0,0,1
beginner,start_investing,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,52.7,50.2,1,1,0,0,1
intermediate,saving_money,credit_and_debt,interest_rate,intermediate,subtopic_quiz,53.4,63.7,0,2,1,1,1
basic,other,investments,what_are_investments,advanced,subtopic_quiz,62.4,38.9,3,1,0,1,1
beginner,start_investing,savings,topic_final,beginner,topic_final_quiz,55.6,66.3,1,5,0,1,1
basic,general_improvement,savings,why_save,beginner,subtopic_quiz,70.5,76.8,0,1,1,1,0
basic,start_investing,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,84.9,100,0,2,0,1,0
intermediate,saving_money,savings,interest_on_savings,beginner,subtopic_quiz,85.3,78.8,1,4,1,1,0
basic,general_improvement,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,84.3,100,0,4,1,0,0
basic,financial_planning,financial_planning,topic_final,intermediate,topic_final_quiz,82.3,80.2,0,5,1,0,0
intermediate,general_improvement,budgeting,topic_final,beginner,topic_final_quiz,76.3,75.5,0,5,1,0,0
intermediate,saving_money,credit_and_debt,credit_overpayment,intermediate,subtopic_quiz,80.8,87.2,0,3,0,1,0
beginner,financial_planning,financial_planning,savings_plan,intermediate,subtopic_quiz,12.2,26.8,1,4,1,1,1
beginner,understand_banking,savings,topic_final,beginner,topic_final_quiz,61.5,63.5,1,5,1,1,1
basic,increase_income,savings,why_save,beginner,subtopic_quiz,40.8,51.0,0,1,0,1,1
beginner,financial_planning,financial_planning,spending_priorities,intermediate,subtopic_quiz,38.3,41.1,0,3,1,1,1
advanced,debt_management,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,86.2,88.8,0,1,1,1,0
basic,saving_money,savings,topic_final,beginner,topic_final_quiz,44.4,54.3,1,5,1,1,1
advanced,increase_income,savings,saving_mistakes,beginner,subtopic_quiz,100,85.9,0,5,0,1,0
beginner,understand_banking,investments,risk_and_return,advanced,subtopic_quiz,59.1,60.8,0,2,0,1,1
basic,other,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,75.1,81.1,1,2,0,0,1
basic,other,budgeting,topic_final,beginner,topic_final_quiz,65.5,48.5,0,5,0,1,1
advanced,increase_income,savings,how_to_save,beginner,subtopic_quiz,82.1,83.9,0,3,0,1,0
basic,debt_management,investments,diversification,advanced,subtopic_quiz,48.6,51.4,0,3,0,1,1
intermediate,control_spending,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,84.2,84.8,0,2,0,1,0
basic,saving_money,savings,interest_on_savings,beginner,subtopic_quiz,73.2,72.3,0,4,1,1,0
beginner,understand_banking,investments,what_are_investments,advanced,subtopic_quiz,77.0,84.2,0,1,0,1,0
basic,start_investing,savings,topic_final,beginner,topic_final_quiz,51.1,38.7,2,5,0,1,1
beginner,control_spending,investments,topic_final,advanced,topic_final_quiz,71.7,85.5,0,5,0,1,0
beginner,other,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,37.4,47.2,3,1,0,1,1
advanced,other,savings,why_save,beginner,subtopic_quiz,84.8,87.0,0,1,0,1,0
beginner,general_improvement,investments,diversification,advanced,subtopic_quiz,35.1,49.8,0,3,1,0,1
basic,general_improvement,credit_and_debt,credit_overpayment,intermediate,subtopic_quiz,45.1,46.2,3,3,0,0,1
intermediate,saving_money,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,67.0,88.9,0,2,1,1,0
beginner,debt_management,investments,beginner_mistakes,advanced,subtopic_quiz,19.9,21.4,0,5,0,1,1
beginner,saving_money,savings,topic_final,beginner,topic_final_quiz,13.8,3.3,3,5,1,1,1
basic,debt_management,credit_and_debt,interest_rate,intermediate,subtopic_quiz,69.1,69.1,0,2,1,0,1
intermediate,saving_money,investments,beginner_mistakes,advanced,subtopic_quiz,63.9,40.1,2,5,0,1,1
beginner,understand_banking,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,50.9,47.3,0,1,1,0,1
beginner,financial_planning,budgeting,topic_final,beginner,topic_final_quiz,55.0,46.1,0,5,1,1,1
advanced,understand_banking,savings,topic_final,beginner,topic_final_quiz,92.1,100,0,5,1,0,0
beginner,increase_income,financial_planning,spending_priorities,intermediate,subtopic_quiz,27.5,35.1,3,3,1,0,1
basic,financial_planning,savings,interest_on_savings,beginner,subtopic_quiz,75.6,71.7,0,4,1,1,0
advanced,increase_income,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,91.0,98.8,0,2,0,1,0
beginner,control_spending,financial_planning,progress_control,intermediate,subtopic_quiz,48.0,25.3,1,5,0,1,1
intermediate,understand_banking,investments,simple_instruments,advanced,subtopic_quiz,73.5,78.8,1,4,0,1,1
intermediate,understand_banking,budgeting,budget_analysis,beginner,subtopic_quiz,54.4,57.9,0,5,0,1,1
beginner,general_improvement,savings,emergency_fund,beginner,subtopic_quiz,78.8,84.4,0,2,0,1,0
beginner,increase_income,credit_and_debt,interest_rate,intermediate,subtopic_quiz,43.4,37.5,1,2,0,0,1
beginner,understand_banking,budgeting,topic_final,beginner,topic_final_quiz,64.9,47.5,0,5,0,1,1
basic,increase_income,savings,topic_final,beginner,topic_final_quiz,59.0,65.1,1,5,0,1,1
beginner,financial_planning,investments,beginner_mistakes,advanced,subtopic_quiz,55.7,48.1,0,5,1,1,1
intermediate,saving_money,credit_and_debt,choose_credit,intermediate,subtopic_quiz,69.4,57.2,0,5,0,1,1
beginner,debt_management,budgeting,income_expenses,beginner,subtopic_quiz,47.1,47.7,2,1,0,0,1
beginner,understand_banking,savings,why_save,beginner,subtopic_quiz,29.8,5.5,0,1,1,0,1
beginner,general_improvement,investments,what_are_investments,advanced,subtopic_quiz,52.9,66.0,1,1,0,1,1
beginner,increase_income,investments,what_are_investments,advanced,subtopic_quiz,42.4,37.1,2,1,1,0,1
intermediate,other,financial_planning,progress_control,intermediate,subtopic_quiz,100,96.9,0,5,0,1,0
intermediate,general_improvement,savings,how_to_save,beginner,subtopic_quiz,81.0,85.4,0,3,0,1,0
beginner,start_investing,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,88.5,90.4,0,1,0,1,0
basic,general_improvement,savings,interest_on_savings,beginner,subtopic_quiz,71.7,67.8,0,4,0,1,0
intermediate,saving_money,financial_planning,topic_final,intermediate,topic_final_quiz,72.7,62.5,0,5,0,1,0
beginner,start_investing,investments,simple_instruments,advanced,subtopic_quiz,42.9,19.2,0,4,1,1,1
beginner,increase_income,investments,what_are_investments,advanced,subtopic_quiz,42.7,29.2,2,1,1,0,1
beginner,debt_management,credit_and_debt,choose_credit,intermediate,subtopic_quiz,35.0,22.7,0,5,1,1,1
intermediate,understand_banking,savings,topic_final,beginner,topic_final_quiz,100,94.0,0,5,0,1,0
basic,start_investing,credit_and_debt,credit_overpayment,intermediate,subtopic_quiz,66.1,50.7,2,3,1,1,1
beginner,general_improvement,credit_and_debt,interest_rate,intermediate,subtopic_quiz,60.6,54.1,2,2,0,1,1
beginner,control_spending,budgeting,income_expenses,beginner,subtopic_quiz,92.2,100,0,1,1,1,0
basic,financial_planning,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,42.2,54.2,1,1,0,0,1
intermediate,saving_money,budgeting,income_expenses,beginner,subtopic_quiz,77.6,86.8,0,1,0,1,0
advanced,increase_income,credit_and_debt,choose_credit,intermediate,subtopic_quiz,99.5,95.3,1,5,0,1,0
beginner,general_improvement,credit_and_debt,choose_credit,intermediate,subtopic_quiz,61.2,46.6,1,5,0,1,1
intermediate,saving_money,financial_planning,progress_control,intermediate,subtopic_quiz,91.4,98.8,0,5,0,1,0
intermediate,start_investing,budgeting,topic_final,beginner,topic_final_quiz,73.7,77.3,0,5,0,1,0
beginner,general_improvement,credit_and_debt,interest_rate,intermediate,subtopic_quiz,62.4,57.1,0,2,0,1,1
basic,control_spending,savings,how_to_save,beginner,subtopic_quiz,53.2,61.6,0,3,0,0,1
basic,saving_money,savings,topic_final,beginner,topic_final_quiz,74.0,76.9,0,5,1,1,0
beginner,start_investing,savings,why_save,beginner,subtopic_quiz,76.3,77.9,0,1,0,0,1
basic,debt_management,credit_and_debt,interest_rate,intermediate,subtopic_quiz,28.0,19.4,2,2,1,0,1
advanced,debt_management,investments,risk_and_return,advanced,subtopic_quiz,100,71.3,0,2,0,1,0
basic,saving_money,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,64.0,41.0,0,2,0,1,1
beginner,debt_management,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,24.4,28.0,1,2,1,1,1
advanced,other,budgeting,budget_analysis,beginner,subtopic_quiz,76.4,68.9,0,5,0,1,0
beginner,general_improvement,credit_and_debt,credit_overpayment,intermediate,subtopic_quiz,67.1,67.1,0,3,0,0,0
advanced,general_improvement,investments,simple_instruments,advanced,subtopic_quiz,89.9,73.2,0,4,0,0,0
basic,control_spending,financial_planning,savings_plan,intermediate,subtopic_quiz,74.9,72.7,0,4,0,1,0
beginner,financial_planning,credit_and_debt,topic_final,intermediate,topic_final_quiz,27.5,23.3,2,5,0,0,1
intermediate,start_investing,savings,topic_final,beginner,topic_final_quiz,79.1,71.4,0,5,1,1,0
beginner,increase_income,financial_planning,topic_final,intermediate,topic_final_quiz,23.9,45.7,1,5,1,0,1
beginner,control_spending,investments,beginner_mistakes,advanced,subtopic_quiz,52.6,52.3,3,5,1,0,1
advanced,other,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,89.2,100,0,4,1,1,0
basic,general_improvement,financial_planning,financial_goals,intermediate,subtopic_quiz,70.1,74.5,1,1,1,1,1
advanced,general_improvement,savings,why_save,beginner,subtopic_quiz,77.1,81.0,0,1,0,1,0
beginner,financial_planning,savings,how_to_save,beginner,subtopic_quiz,76.0,55.3,0,3,1,1,1
beginner,general_improvement,investments,topic_final,advanced,topic_final_quiz,42.0,35.2,0,5,0,1,1
beginner,financial_planning,investments,beginner_mistakes,advanced,subtopic_quiz,42.6,57.7,0,5,0,1,1
intermediate,financial_planning,savings,why_save,beginner,subtopic_quiz,100,100,2,1,1,1,0
intermediate,understand_banking,financial_planning,topic_final,intermediate,topic_final_quiz,52.0,37.0,2,5,0,0,1
basic,control_spending,savings,how_to_save,beginner,subtopic_quiz,70.6,59.8,0,3,1,1,1
intermediate,general_improvement,financial_planning,savings_plan,intermediate,subtopic_quiz,83.1,81.6,0,4,1,1,0
beginner,saving_money,savings,emergency_fund,beginner,subtopic_quiz,28.8,30.9,3,2,1,1,1
beginner,general_improvement,savings,how_to_save,beginner,subtopic_quiz,62.1,71.5,0,3,0,1,1
intermediate,control_spending,budgeting,topic_final,beginner,topic_final_quiz,74.0,81.4,0,5,1,1,0
beginner,general_improvement,savings,how_to_save,beginner,subtopic_quiz,43.3,38.3,2,3,0,0,1
beginner,debt_management,savings,emergency_fund,beginner,subtopic_quiz,51.6,69.9,1,2,0,0,1
basic,other,investments,topic_final,advanced,topic_final_quiz,46.0,55.8,1,5,0,0,1
intermediate,understand_banking,investments,topic_final,advanced,topic_final_quiz,56.5,55.5,0,5,0,0,1
basic,saving_money,savings,interest_on_savings,beginner,subtopic_quiz,55.2,52.6,3,4,1,1,1
intermediate,financial_planning,investments,diversification,advanced,subtopic_quiz,70.4,78.8,0,3,0,0,1
basic,financial_planning,budgeting,income_expenses,beginner,subtopic_quiz,66.7,45.7,1,1,1,0,1
beginner,saving_money,investments,simple_instruments,advanced,subtopic_quiz,57.0,59.4,1,4,0,0,1
basic,debt_management,savings,topic_final,beginner,topic_final_quiz,86.5,74.4,0,5,0,0,0
intermediate,control_spending,budgeting,topic_final,beginner,topic_final_quiz,84.5,86.3,0,5,1,1,0
intermediate,increase_income,savings,topic_final,beginner,topic_final_quiz,86.8,63.0,0,5,0,0,0
beginner,increase_income,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,60.0,59.0,0,2,1,1,1
intermediate,other,credit_and_debt,credit_overpayment,intermediate,subtopic_quiz,53.4,53.9,1,3,0,1,1
intermediate,financial_planning,financial_planning,savings_plan,intermediate,subtopic_quiz,71.5,81.6,0,4,1,1,0
beginner,general_improvement,investments,what_are_investments,advanced,subtopic_quiz,21.6,21.3,0,1,1,1,1
intermediate,other,investments,diversification,advanced,subtopic_quiz,79.5,74.3,0,3,1,1,0
intermediate,general_improvement,financial_planning,topic_final,intermediate,topic_final_quiz,68.2,51.1,2,5,1,1,1
intermediate,saving_money,savings,how_to_save,beginner,subtopic_quiz,84.4,78.2,0,3,1,0,0
beginner,debt_management,credit_and_debt,topic_final,intermediate,topic_final_quiz,26.9,44.3,2,5,1,1,1
basic,increase_income,financial_planning,topic_final,intermediate,topic_final_quiz,47.8,47.3,0,5,1,1,1
beginner,debt_management,savings,how_to_save,beginner,subtopic_quiz,62.8,49.0,2,3,0,1,1
beginner,control_spending,savings,why_save,beginner,subtopic_quiz,45.6,57.8,1,1,0,0,1
beginner,financial_planning,financial_planning,financial_goals,intermediate,subtopic_quiz,44.4,43.6,0,1,1,1,1
beginner,start_investing,investments,risk_and_return,advanced,subtopic_quiz,20.4,45.5,0,2,1,1,1
advanced,debt_management,budgeting,income_expenses,beginner,subtopic_quiz,86.9,81.0,0,1,0,1,0
intermediate,understand_banking,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,89.1,74.0,0,4,0,0,0
beginner,understand_banking,credit_and_debt,interest_rate,intermediate,subtopic_quiz,71.7,70.2,0,2,1,1,0
beginner,increase_income,savings,why_save,beginner,subtopic_quiz,33.1,44.1,0,1,0,0,1
advanced,increase_income,budgeting,expense_accounting,beginner,subtopic_quiz,93.9,74.7,0,3,1,1,0
basic,financial_planning,financial_planning,financial_goals,intermediate,subtopic_quiz,63.9,55.7,0,1,1,1,1
basic,control_spending,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,56.2,69.0,1,1,1,1,1
beginner,debt_management,savings,emergency_fund,beginner,subtopic_quiz,73.0,80.9,0,2,0,0,0
intermediate,financial_planning,savings,interest_on_savings,beginner,subtopic_quiz,67.1,66.7,2,4,1,0,0
beginner,debt_management,investments,risk_and_return,advanced,subtopic_quiz,59.5,51.6,1,2,0,1,1
beginner,general_improvement,financial_planning,spending_priorities,intermediate,subtopic_quiz,49.2,44.1,1,3,1,1,1
beginner,understand_banking,financial_planning,spending_priorities,intermediate,subtopic_quiz,63.0,78.0,1,3,0,1,1
basic,saving_money,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,56.5,65.6,1,2,0,1,1
beginner,financial_planning,financial_planning,progress_control,intermediate,subtopic_quiz,30.5,25.9,1,5,1,1,1
intermediate,increase_income,financial_planning,spending_priorities,intermediate,subtopic_quiz,97.2,100,0,3,1,1,0
advanced,saving_money,budgeting,expense_accounting,beginner,subtopic_quiz,100,92.6,0,3,0,1,0
basic,saving_money,savings,emergency_fund,beginner,subtopic_quiz,86.1,80.4,0,2,1,1,0
advanced,control_spending,financial_planning,topic_final,intermediate,topic_final_quiz,100,99.9,1,5,0,1,0
basic,financial_planning,savings,interest_on_savings,beginner,subtopic_quiz,71.6,71.1,0,4,1,1,0
beginner,debt_management,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,40.5,40.7,1,2,0,0,1
basic,other,budgeting,budget_analysis,beginner,subtopic_quiz,73.1,78.2,0,5,0,1,0
beginner,debt_management,savings,emergency_fund,beginner,subtopic_quiz,33.6,13.6,1,2,0,1,1
intermediate,control_spending,financial_planning,topic_final,intermediate,topic_final_quiz,80.9,68.7,0,5,0,1,0
basic,saving_money,credit_and_debt,choose_credit,intermediate,subtopic_quiz,55.5,53.8,0,5,0,1,1
basic,debt_management,savings,why_save,beginner,subtopic_quiz,99.0,100,0,1,0,1,0
intermediate,other,investments,what_are_investments,advanced,subtopic_quiz,64.9,56.5,0,1,0,1,1
basic,start_investing,savings,emergency_fund,beginner,subtopic_quiz,84.4,83.3,0,2,0,1,0
beginner,other,credit_and_debt,topic_final,intermediate,topic_final_quiz,31.4,3.4,0,5,0,1,1
intermediate,saving_money,credit_and_debt,choose_credit,intermediate,subtopic_quiz,77.2,66.1,0,5,0,0,0
beginner,other,investments,what_are_investments,advanced,subtopic_quiz,41.7,46.8,3,1,1,1,1
intermediate,debt_management,credit_and_debt,interest_rate,intermediate,subtopic_quiz,78.7,69.5,0,2,1,0,0
basic,understand_banking,financial_planning,financial_goals,intermediate,subtopic_quiz,53.7,58.7,0,1,0,1,1
beginner,increase_income,investments,what_are_investments,advanced,subtopic_quiz,54.6,47.6,2,1,1,1,1
advanced,general_improvement,credit_and_debt,topic_final,intermediate,topic_final_quiz,74.8,87.3,0,5,1,1,0
beginner,other,budgeting,income_expenses,beginner,subtopic_quiz,79.0,91.5,0,1,0,1,0
advanced,other,investments,topic_final,advanced,topic_final_quiz,54.9,54.0,1,5,1,1,1
basic,other,budgeting,income_expenses,beginner,subtopic_quiz,56.0,42.4,1,1,0,1,1
basic,saving_money,budgeting,income_expenses,beginner,subtopic_quiz,59.5,59.4,0,1,0,1,1
basic,other,financial_planning,financial_goals,intermediate,subtopic_quiz,79.9,70.0,0,1,1,1,0
advanced,increase_income,financial_planning,topic_final,intermediate,topic_final_quiz,88.8,93.4,0,5,1,1,0
advanced,start_investing,savings,how_to_save,beginner,subtopic_quiz,95.9,96.1,1,3,0,0,0
beginner,general_improvement,savings,how_to_save,beginner,subtopic_quiz,30.6,32.6,0,3,0,0,1
advanced,start_investing,budgeting,topic_final,beginner,topic_final_quiz,98.5,88.5,0,5,0,0,0
beginner,increase_income,credit_and_debt,credit_overpayment,intermediate,subtopic_quiz,62.6,65.8,0,3,1,1,1
intermediate,increase_income,investments,diversification,advanced,subtopic_quiz,46.9,40.6,1,3,1,1,1
beginner,start_investing,investments,what_are_investments,advanced,subtopic_quiz,20.0,25.2,1,1,1,1,1
advanced,financial_planning,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,74.8,81.6,0,2,1,1,0
beginner,increase_income,credit_and_debt,interest_rate,intermediate,subtopic_quiz,28.9,15.3,3,2,0,1,1
beginner,other,savings,how_to_save,beginner,subtopic_quiz,65.8,71.1,0,3,0,0,1
beginner,control_spending,investments,risk_and_return,advanced,subtopic_quiz,38.5,52.1,3,2,0,1,1
intermediate,other,savings,saving_mistakes,beginner,subtopic_quiz,73.8,60.6,0,5,0,1,1
advanced,understand_banking,investments,topic_final,advanced,topic_final_quiz,82.7,90.8,0,5,1,1,0
beginner,financial_planning,credit_and_debt,interest_rate,intermediate,subtopic_quiz,47.0,24.1,0,2,0,0,1
beginner,start_investing,budgeting,expense_accounting,beginner,subtopic_quiz,52.9,67.6,1,3,0,0,1
intermediate,increase_income,credit_and_debt,interest_rate,intermediate,subtopic_quiz,64.3,66.4,1,2,0,1,1
basic,general_improvement,savings,saving_mistakes,beginner,subtopic_quiz,74.9,62.3,1,5,0,1,1
beginner,general_improvement,savings,emergency_fund,beginner,subtopic_quiz,79.3,82.2,0,2,0,1,0
